,0
0,last
1,bxf
2,new
3,knew
4,threat
5,edg
6,bxc
7,understand
8,magnu
9,believ
10,lot
11,qa
12,slightli
13,sever
14,question
15,improv
16,option
17,retreat
18,time
19,endgam
20,hold
21,super
22,fine
23,qxc
24,less
25,cours
26,concret
27,must
28,cxd
29,someth
30,day
31,dxe
32,sit
33,bxa
34,rook
35,qb
36,fxg
37,due
38,nb
39,quit
40,respons
41,almost
42,book
43,never
44,want
45,find
46,rb
47,interest
48,isol
49,exd
50,open
51,big
52,year
53,would
54,kingsid
55,rxh
56,inaccuraci
57,use
58,q
59,away
60,event
61,st
62,rg
63,well
64,kg
65,fan
66,minor
67,playabl
68,far
69,french
70,diagon
71,need
72,reason
73,rout
74,much
75,pressur
76,expect
77,key
78,chess
79,rh
80,cxb
81,target
82,mate
83,rid
84,suit
85,look
86,blunder
87,extra
88,rd
89,tournament
90,possibl
91,prove
92,rad
93,cannot
94,bg
95,smart
96,consid
97,decid
98,turn
99,go
100,eventu
101,happi
102,second
103,actual
104,loss
105,easier
106,file
107,first
108,nf
109,move
110,job
111,often
112,qxg
113,team
114,rememb
115,knight
116,seem
117,choic
118,common
119,nice
120,analysi
121,sure
122,also
123,seen
124,g
125,centr
126,bad
127,power
128,posit
129,base
130,becom
131,good
132,wrong
133,break
134,weak
135,materi
136,rxf
137,ahead
138,clear
139,best
140,nxe
141,next
142,opt
143,develop
144,surpris
145,sacrif
146,bc
147,earli
148,miss
149,engin
150,part
151,defend
152,altern
153,nd
154,carlsen
155,prefer
156,gxh
157,better
158,danger
159,head
160,world
161,sacrific
162,follow
163,longer
164,oppon
165,see
166,favor
167,threaten
168,center
169,could
170,littl
171,person
172,earlier
173,passiv
174,structur
175,guess
176,happen
177,chose
178,aggress
179,caus
180,caruana
181,remov
182,match
183,rxd
184,kb
185,beat
186,win
187,way
188,figur
189,decis
190,rxa
191,control
192,result
193,stop
194,troubl
195,prep
196,deviat
197,ke
198,confid
199,differ
200,advantag
201,bxe
202,push
203,advanc
204,suggest
205,defenc
206,game
207,hxg
208,comput
209,bh
210,nxf
211,king
212,gxf
213,come
214,level
215,let
216,risk
217,said
218,help
219,maintain
220,known
221,bxg
222,qg
223,ye
224,gain
225,qe
226,dxc
227,along
228,support
229,middlegam
230,therefor
231,databas
232,reach
233,kd
234,consolid
235,queen
236,complet
237,went
238,main
239,c
240,nc
241,correct
242,lead
243,probabl
244,prevent
245,allow
246,either
247,style
248,kc
249,idea
250,line
251,ra
252,problem
253,check
254,space
255,squar
256,defens
257,instead
258,weaken
259,repeat
260,got
261,usual
262,stronger
263,respond
264,psycholog
265,alway
266,exchang
267,qxe
268,rule
269,avoid
270,place
271,real
272,normal
273,late
274,care
275,rare
276,deep
277,thought
278,grind
279,vs
280,noth
281,strength
282,championship
283,still
284,case
285,bf
286,qh
287,k
288,via
289,activ
290,three
291,attack
292,pair
293,stage
294,aim
295,solid
296,creat
297,alreadi
298,rather
299,made
300,otherwis
301,take
302,slow
303,h
304,chanc
305,theori
306,hole
307,like
308,rc
309,strategi
310,b
311,rxg
312,strong
313,forward
314,behind
315,left
316,say
317,trap
318,clock
319,though
320,put
321,black
322,afraid
323,anyth
324,pin
325,mayb
326,opportun
327,bring
328,castl
329,offer
330,spite
331,anyway
332,quickli
333,later
334,practic
335,speed
336,enough
337,accur
338,immedi
339,right
340,plu
341,momentum
342,side
343,even
344,shift
345,comfort
346,bxb
347,today
348,realli
349,crazi
350,ne
351,ever
352,moment
353,white
354,nxc
355,gambit
356,disappoint
357,popular
358,spent
359,bxd
360,bb
361,axb
362,mani
363,hand
364,gm
365,lost
366,prepar
367,long
368,standard
369,kxd
370,nh
371,f
372,kh
373,board
374,free
375,crank
376,encourag
377,make
378,cost
379,dark
380,home
381,qf
382,give
383,trade
384,date
385,pawn
386,everyth
387,central
388,think
389,mean
390,fight
391,close
392,two
393,round
394,pretti
395,bd
396,slight
397,final
398,fast
399,rf
400,rxc
401,qd
402,may
403,thing
404,chang
405,tri
406,e
407,rank
408,perhap
409,done
410,lose
411,variat
412,mistak
413,qxf
414,start
415,accord
416,qxd
417,point
418,tempo
419,easi
420,play
421,nxd
422,clearli
423,captur
424,import
425,soon
426,ba
427,block
428,ok
429,repli
430,mind
431,plan
432,type
433,hope
434,piec
435,especi
436,end
437,ng
438,nerv
439,hard
440,kf
441,without
442,tango
443,back
444,leav
445,get
446,feel
447,doubl
448,face
449,assess
450,na
451,novelti
452,four
453,bishop
454,sinc
455,work
456,champion
457,qc
458,keep
459,exploit
460,object
461,discov
462,know
463,sometim
464,player
465,continu
466,simpli
467,bit
468,forc
469,dynam
470,qxb
471,anoth
472,sicilian
473,draw
474,logic
475,howev
476,rxb
477,kind
478,although
479,equal
480,exf
481,complic
482,queensid
483,min
484,one
485,potenti
